Location,Occasion1,Occasion2,Occasion3,Group1,StudyArea,SurveyYear,CameraUTM_E,CameraUTM_N,CameraUTM_Zone,StartDateTime
ADK - 0410,0,0,1,1,1,2016,573916,4963496,18,2/25/2016 11:05:20 AM
ADK - 0410,0,0,0,1,1,2017,573916,4963496,18,1/25/2017 3:47:50 PM
ADK - 0410,1,1,0,1,1,2018,573916,4963496,18,1/22/2018 3:16:03 PM
ADK - 0550,0,0,0,1,1,2016,565452,4954488,18,2/25/2016 12:43:17 PM
ADK - 0550,0,0,0,1,1,2017,565452,4954488,18,2/27/2017 1:03:57 PM
ADK - 0550,0,0,0,1,1,2018,565452,4954488,18,2/2/2018 3:22:59 PM
ADK - 0693,0,0,0,1,1,2016,567511,4949569,18,2/25/2016 1:28:07 PM
ADK - 0693,0,0,0,1,1,2017,567511,4949569,18,2/27/2017 12:17:05 PM
ADK - 0693,0,0,0,1,1,2018,567511,4949569,18,1/18/2018 3:39:06 PM
ADK - 0775,0,NA,NA,1,1,2016,610832,4943185,18,1/27/2016 10:05:30 AM
ADK - 0775,0,1,1,1,1,2017,610832,4943185,18,1/24/2017 12:56:34 PM
ADK - 0775,0,0,0,1,1,2018,610832,4943185,18,1/17/2018 1:33:59 PM
ADK - 0836,0,0,0,1,1,2016,573126,4944415,18,2/25/2016 12:45:13 PM
ADK - 0836,0,0,0,1,1,2018,573126,4944415,18,2/2/2018 11:47:03 AM
ADK - 0905,0,0,0,1,1,2016,563433,4942512,18,2/25/2016 11:30:13 AM
ADK - 0905,0,0,0,1,1,2017,563433,4942512,18,2/27/2017 11:32:28 AM
ADK - 0905,0,0,0,1,1,2018,563433,4942512,18,1/29/2018 11:53:47 AM
ADK - 0908,0,0,1,1,1,2016,577368,4934264,18,2/25/2016 1:33:29 PM
ADK - 0908,0,0,0,1,1,2017,577368,4934264,18,1/26/2017 9:46:36 AM
ADK - 0908,0,0,0,1,1,2018,577368,4934264,18,2/21/2018 1:09:24 PM
ADK - 0910,1,0,NA,1,1,2016,585492,4936634,18,3/10/2016 12:36:27 PM
ADK - 0910,0,0,0,1,1,2017,585492,4936634,18,1/26/2017 8:48:09 AM
ADK - 0910,0,0,0,1,1,2018,585492,4936634,18,2/20/2018 10:41:37 AM
ADK - 0915,0,NA,NA,1,1,2016,605341,4938624,18,1/27/2016 10:42:39 AM
ADK - 0915,1,1,0,1,1,2017,605341,4938624,18,1/24/2017 2:16:08 PM
ADK - 0915,1,1,1,1,1,2018,605341,4938624,18,1/17/2018 2:18:25 PM
ADK - 0920,0,NA,NA,1,1,2016,623432,4936831,18,1/27/2016 12:21:50 PM
ADK - 0920,0,0,0,1,1,2017,623432,4936831,18,1/25/2017 9:23:10 AM
ADK - 0920,0,0,0,1,1,2018,623432,4936831,18,1/17/2018 11:17:14 AM
ADK - 0987,0,0,0,1,1,2016,606016,4934920,18,1/27/2016 11:36:41 AM
ADK - 0987,0,0,0,1,1,2017,606016,4934920,18,1/25/2017 12:38:54 PM
ADK - 0987,0,0,NA,1,1,2018,606016,4934920,18,1/17/2018 3:39:21 PM
ADK - 0992,0,NA,NA,1,1,2016,625596,4932522,18,1/27/2016 1:07:54 PM
ADK - 0992,0,0,0,1,1,2017,625596,4932522,18,1/25/2017 10:42:46 AM
ADK - 0992,1,0,0,1,1,2018,625596,4932522,18,1/17/2018 12:23:38 PM
ADK - 1043,0,0,0,1,1,2016,547464,4927015,18,2/25/2016 9:39:28 AM
ADK - 1043,0,0,0,1,1,2018,547464,4927015,18,2/6/2018 2:10:56 PM
ADK - 1048,0,0,0,1,1,2016,568048,4928976,18,2/9/2016 1:01:36 PM
ADK - 1048,0,0,0,1,1,2017,568048,4928976,18,1/31/2017 1:31:36 PM
ADK - 1048,0,0,0,1,1,2018,568048,4928976,18,2/15/2018 1:13:33 PM
ADK - 1052,0,0,0,1,1,2016,584432,4929363,18,3/9/2016 1:40:55 PM
ADK - 1052,0,0,0,1,1,2017,584432,4929363,18,1/28/2017 11:58:11 AM
ADK - 1052,0,0,1,1,1,2018,584432,4929363,18,2/16/2018 12:13:46 PM
ADK - 1054,1,1,1,1,1,2016,591509,4929324,18,3/9/2016 1:15:39 PM
ADK - 1054,0,0,0,1,1,2017,591509,4929324,18,1/28/2017 12:36:43 PM
ADK - 1054,0,0,0,1,1,2018,591509,4929324,18,2/16/2018 1:36:12 PM
ADK - 1121,0,0,NA,1,1,2016,576561,4926155,18,3/10/2016 12:11:32 PM
ADK - 1121,0,0,0,1,1,2017,576561,4926155,18,1/26/2017 10:39:18 AM
ADK - 1121,0,0,0,1,1,2018,576561,4926155,18,2/20/2018 1:00:26 PM
ADK - 1123,0,0,0,1,1,2016,582574,4923521,18,2/9/2016 11:53:29 AM
ADK - 1123,0,0,0,1,1,2017,582574,4923521,18,1/28/2017 11:03:23 AM
ADK - 1123,0,0,0,1,1,2018,582574,4923521,18,2/16/2018 11:39:14 AM
ADK - 1125,1,1,0,1,1,2016,592679,4923900,18,3/9/2016 12:43:06 PM
ADK - 1125,0,1,0,1,1,2017,592679,4923900,18,1/28/2017 1:33:21 PM
ADK - 1125,0,0,0,1,1,2018,592679,4923900,18,2/16/2018 10:32:15 AM
ADK - 1196,0,1,0,1,1,2016,591121,4922681,18,3/9/2016 12:26:01 PM
ADK - 1196,0,0,0,1,1,2017,591121,4922681,18,1/28/2017 2:13:07 PM
ADK - 1196,0,0,0,1,1,2018,591121,4922681,18,2/16/2018 10:57:05 AM
ADK - 1256,0,0,0,1,1,2016,550877,4919666,18,2/8/2016 1:26:18 PM
ADK - 1256,0,0,0,1,1,2017,550877,4919666,18,2/27/2017 3:26:34 PM
ADK - 1256,0,0,0,1,1,2018,550877,4919666,18,1/17/2018 8:14:24 PM
ADK - 1258,0,1,0,1,1,2016,558392,4916013,18,2/8/2016 12:00:23 PM
ADK - 1258,0,1,1,1,1,2017,558392,4916013,18,1/31/2017 1:07:44 PM
ADK - 1258,1,1,1,1,1,2018,558392,4916013,18,1/17/2018 2:24:19 PM
ADK - 1262,0,0,0,1,1,2016,572274,4919054,18,2/8/2016 3:37:51 PM
ADK - 1262,0,0,0,1,1,2017,572274,4919054,18,1/26/2017 11:34:53 AM
