FID,Station,Year,x,y,Open.Water,Developed.Open,Developed.Low,Developed.Mid,Developed.High,Barren,Deciduous,Coniferous,Mixed,Scrub,Grassland,Pasture,Cultivated.Crops,Woody.Wetlands,Herbaceus.Wetlands,road_density,camera,random,forest_edgedensity,stream_density,snow_depth
0,1,2013,452678,4654105,0.012641777,0.02173913,0.001772212,0,0.000118147,0.000590737,0.465973535,0.078922495,0.353851607,0.001417769,0.00094518,0.036743856,0,0.012996219,0.012287335,0.952265501,Bushnell,0.623509759,33.47511027,0.669211874,83.34222222
1,2,2013,456117,4655209,0.002008507,0.048440454,0.012759924,0.001890359,0,0.000236295,0.53379017,0.034380907,0.272802457,0.008506616,0.001063327,0.06155482,0,0.01205104,0.010515123,0.954844126,Bushnell,0.116951432,47.53465658,0.694356938,99.24938272
2,3,2013,458283,4654783,0.000354442,0.064272212,0.036743856,0.007088847,0.00047259,0.001417769,0.579395085,0.004962193,0.10692344,0.009333648,0.001535917,0.161507561,0.02362949,0.001772212,0.000590737,0.898484508,Bushnell,0.887060186,72.18809074,0.69495218,69.08333333
3,4,2013,234868,4659186,0.001772212,0.117674858,0.019258034,0.003189981,0.000236295,0.00047259,0.407608696,0.063799622,0.147802457,0.001654064,0.000590737,0.204040643,0.010869565,0.019612476,0.001417769,0.859988322,Reconyx,0.12380572,58.36483932,0.64118152,108.5617284
4,5,2013,240906,4658779,0,0.037570888,0.001535917,0.000354442,0,0.000827032,0.79442344,0.013468809,0.122873346,0.003544423,0,0.025401701,0,0,0,0.846897831,Reconyx,0.801357072,30.79710145,0.629633799,143.3377778
5,6,2013,243391,4659556,0,0.036465638,0.001402525,0.000350631,0,0,0.633122955,0.075619448,0.24485741,0.004090697,0,0.002921926,0,0.00116877,0,0.926181427,Reconyx,0.511617058,28.16736793,0.633268016,129.1088889
6,7,2013,451781,4658948,0.001417769,0.043360113,0.011224008,0.004017013,0,0.01063327,0.399574669,0.064390359,0.39862949,0.001654064,0.000708885,0.056592628,0,0.007797732,0,1.212978005,Bushnell,0.244746611,50.60649023,0.71099509,77.16555556
7,8,2013,456025,4659255,0.00047259,0.039697543,0.002953686,0.00094518,0,0.000354442,0.270085066,0.041587902,0.466564272,0.009451796,0.001299622,0.160680529,0,0.005907372,0,1.161177158,Bushnell,0.546168181,53.44202899,0.710334102,98.97555556
8,9,2013,460328,4658569,0.001535917,0.033081285,0.00094518,0.000118147,0,0,0.458293951,0.027528355,0.341446125,0.008270321,0.001417769,0.093100189,0.001654064,0.018667297,0.013941399,1.056982841,Bushnell,0.121414025,47.33774417,0.71538204,75.97111111
9,10,2013,463533,4659508,0.008181393,0.04312763,0.004090697,0.000818139,0.000116877,0.000350631,0.577255727,0.008064516,0.15030388,0.006661992,0.00315568,0.196937821,0,0.000701262,0.000233754,1.011550009,Reconyx,0.961303185,62.17858813,0.725117854,93.48666667
10,11,2013,225064,4664630,0.000236295,0.03887051,0.002835539,0.000354442,0,0.000590737,0.515004726,0.053166352,0.308010397,0.007679584,0.000827032,0.072424386,0,0,0,1.364483356,Reconyx,0.430737086,47.06206679,0.649926913,143.0122222
11,12,2013,227416,4664663,0.001654064,0.047140832,0.002717391,0.000708885,0,0.000118147,0.627244802,0.029418715,0.163634216,0.003426276,0.001654064,0.1088138,0.004489603,0.00508034,0.003898866,1.369032877,Reconyx,0.839046689,50.72463768,0.647159781,142.7288889
12,13,2013,231289,4662867,0.000467508,0.042660122,0.004207574,0.000584385,0.000116877,0,0.515544647,0.086722768,0.27886863,0.000116877,0.002220664,0.0585554,0.009817672,0,0.000116877,1.212850014,Reconyx,0.578903316,46.71185912,0.643739541,130.2855556
