sitename,Occ1,Occ2,Occ3,year
ADK - 0410,0,0,0,2016
ADK - 0550,0,0,0,2016
ADK - 0693,0,0,0,2016
ADK - 0775,0,0,0,2016
ADK - 0836,0,0,0,2016
ADK - 0905,0,0,0,2016
ADK - 0908,0,0,0,2016
ADK - 0910,0,0,0,2016
ADK - 0915,0,0,0,2016
ADK - 0920,0,0,0,2016
ADK - 0987,0,0,0,2016
ADK - 0992,0,0,0,2016
ADK - 1043,0,0,0,2016
ADK - 1048,0,0,0,2016
ADK - 1052,0,0,0,2016
ADK - 1054,0,0,0,2016
ADK - 1121,0,0,0,2016
ADK - 1123,0,0,0,2016
ADK - 1125,0,0,0,2016
ADK - 1196,0,0,1,2016
ADK - 1256,4,4,1,2016
ADK - 1258,0,0,0,2016
ADK - 1262,0,0,0,2016
ADK - 1266,1,0,2,2016
ADK - 1271,0,0,0,2016
ADK - 1332,0,0,0,2016
ADK - 1399,5,1,0,2016
ADK - 1400,1,0,0,2016
ADK - 1402,0,0,1,2016
ADK - 1408,2,0,0,2016
ADK - 1476,2,2,1,2016
ADK - 1483,0,0,0,2016
ADK - 1540,0,0,0,2016
ADK - 1554,0,0,0,2016
ADK - 1613,0,1,1,2016
ADK - 1617,3,4,2,2016
ADK - 1631,0,0,0,2016
ADK - 1678,0,0,0,2016
ADK - 1688,0,0,0,2016
ADK - 1694,0,0,0,2016
ADK - 1820,0,0,0,2016
ADK - 1830,5,6,1,2016
ADK - 1839,2,6,0,2016
ADK - 1902,4,0,1,2016
ADK - 1910,0,0,5,2016
ADK - 1961,0,0,0,2016
ADK - 1976,0,3,0,2016
ADK - 1981,0,0,0,2016
ADK - 2032,0,0,0,2016
ADK - 2035,0,0,1,2016
ADK - 2041,0,3,0,2016
ADK - 2049,1,4,1,2016
ADK - 2053,0,0,0,2016
ADK - 2182,5,1,0,2016
ADK - 2187,0,0,1,2016
ADK - 2265,0,0,0,2016
ADK - 2327,1,1,1,2016
ADK - 2332,4,4,3,2016
ADK - 2333,0,0,4,2016
ADK - 2336,1,0,0,2016
ADK - 2384,0,3,4,2016
ADK - 2387,2,0,0,2016
ADK - 2404,0,0,0,2016
ADK - 2452,0,4,0,2016
ADK - 2478,5,2,3,2016
ADK - 2527,0,0,0,2016
ADK - 2541,1,6,1,2016
ADK - 2542,1,2,1,2016
ADK - 2546,0,0,0,2016
ADK - 2547,1,0,0,2016
ADK - 2619,0,0,0,2016
ADK - 2621,0,0,0,2016
ADK - 2672,2,7,2,2016
ADK - 2674,2,5,1,2016
ADK - 2751,0,0,0,2016
ADK - 2753,0,0,0,2016
ADK - 2761,0,0,0,2016
ADK - 2822,7,1,0,2016
ADK - 2832,0,0,0,2016
ADK - 2888,0,0,0,2016
ADK - 2891,1,0,0,2016
ADK - 2957,2,5,5,2016
ADK - 2972,0,0,0,2016
ADK - 3032,0,0,0,2016
ADK - 3043,0,0,0,2016
ADK - 3047,0,0,0,2016
ADK - 3106,0,0,0,2016
ADK - 3111,0,0,0,2016
ADK - 3119,0,0,0,2016
ADK - 3190,0,0,0,2016
ADK - 3256,0,0,0,2016
ADK - 3321,0,0,0,2016
ADK - 3330,0,0,0,2016
ADK - 3394,0,0,0,2016
ADK - 3400,0,0,0,2016
ADK - 3603,0,0,0,2016
ADK - 3607,0,0,0,2016
TH - 0403,0,0,0,2016
TH - 0405,0,0,0,2016
TH - 0406,0,0,0,2016
TH - 0476,0,0,0,2016
TH - 0540,0,0,0,2016
TH - 0542,0,0,0,2016
TH - 0614,0,0,0,2016
TH - 0678,0,0,0,2016
TH - 0684,0,0,0,2016
TH - 0685,0,0,0,2016
TH - 0756,0,0,0,2016
TH - 0818,0,0,0,2016
TH - 0893,0,0,0,2016
TH - 0898,0,0,0,2016
TH - 0959,0,0,0,2016
TH - 0960,0,0,0,2016
TH - 0969,0,0,0,2016
TH - 1029,0,0,1,2016
TH - 1036,0,0,0,2016
TH - 1099,0,0,0,2016
TH - 1105,0,0,0,2016
TH - 1107,0,0,0,2016
TH - 1173,0,0,0,2016
TH - 1236,0,0,0,2016
TH - 1306,0,0,0,2016
TH - 1309,0,0,0,2016
TH - 1314,0,0,0,2016
TH - 1315,0,0,0,2016
TH - 1391,0,0,0,2016
TH - 1448,0,0,0,2016
TH - 1452,0,0,0,2016
TH - 1462,0,0,0,2016
TH - 1463,0,0,0,2016
TH - 1521,0,0,0,2016
TH - 1529,0,0,0,2016
TH - 1530,0,0,0,2016
TH - 1666,0,0,0,2016
TH - 1668,0,0,0,2016
TH - 1673,0,0,0,2016
TH - 1733,0,0,0,2016
TH - 1734,0,0,0,2016
TH - 1740,0,0,0,2016
TH - 1742,0,0,0,2016
TH - 1811,0,0,0,2016
TH - 1877,0,0,0,2016
TH - 1884,0,0,0,2016
TH - 1950,0,0,0,2016
TH - 1951,0,0,0,2016
TH - 2011,0,0,0,2016
TH - 2015,0,0,0,2016
TH - 2022,0,0,0,2016
TH - 2083,0,0,0,2016
TH - 2092,0,0,0,2016
TH - 2162,0,0,0,2016
TH - 2226,0,0,0,2016
TH - 2228,0,0,0,2016
TH - 2238,1,2,0,2016
TH - 2239,0,0,0,2016
TH - 2374,0,0,0,2016
TH - 2506,0,0,0,2016
TH - 2577,0,0,0,2016
TH - 2585,0,0,0,2016
TH - 2651,0,0,0,2016
TH - 2656,0,0,0,2016
TH - 2719,0,0,0,2016
TH - 2722,0,0,0,2016
TH - 2795,0,0,0,2016
TH - 2866,0,0,0,2016
TH - 2871,0,0,0,2016
TH - 2872,0,0,0,2016
TH - 2874,0,0,0,2016
TH - 2936,0,0,0,2016
TH - 2940,0,0,0,2016
TH - 2942,0,0,0,2016
TH - 2943,0,0,0,2016
TH - 3073,0,0,0,2016
TH - 3076,0,0,0,2016
