sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,year
1,452678,4654105,0,0,0,2013
2,456117,4655209,0,0,0,2013
3,458283,4654783,0,0,0,2013
4,234868,4659186,0,0,0,2013
5,240906,4658779,0,0,0,2013
6,243391,4659556,0,0,0,2013
7,451781,4658948,0,0,0,2013
8,456025,4659255,NA,NA,0,2013
9,460328,4658569,0,0,0,2013
10,463533,4659508,0,0,0,2013
11,225064,4664630,0,0,0,2013
12,227416,4664663,0,0,0,2013
13,231289,4662867,0,0,0,2013
14,234556,4664434,0,0,0,2013
15,459204,4663088,0,0,0,2013
16,463436,4664539,0,0,0,2013
17,222354,4668171,0,0,0,2013
18,227200,4666404,0,0,0,2013
19,308730,4667375,NA,NA,NA,2013
25,223608,4671708,0,0,0,2013
26,227678,4671789,0,0,0,2013
27,247011,4672344,0,0,0,2013
28,249286,4671213,0,0,0,2013
29,308935,4671569,0,0,0,2013
30,305008,4671460,0,0,0,2013
32,469264,4669658,NA,NA,NA,2013
33,473368,4671309,0,NA,NA,2013
34,474007,4670880,0,0,0,2013
42,226656,4676400,0,0,0,2013
44,297181,4674817,0,0,0,2013
45,301518,4674064,0,0,0,2013
46,303568,4674198,0,0,0,2013
47,311978,4674238,0,0,NA,2013
48,317606,4673745,0,0,NA,2013
50,328185,4674947,0,0,0,2013
51,332499,4674423,0,0,0,2013
52,335942,4674069,0,0,NA,2013
54,467419,4673321,0,0,0,2013
55,472751,4673928,0,NA,0,2013
56,477183,4676203,0,0,0,2013
57,478730,4675441,0,0,0,2013
58,481877,4674153,0,0,0,2013
63,255587,4678131,0,0,0,2013
64,258770,4677105,0,0,0,2013
65,301106,4679688,0,0,0,2013
67,324359,4680466,NA,0,0,2013
68,328277,4679741,0,0,0,2013
69,331609,4679632,0,0,0,2013
70,335550,4678226,0,0,NA,2013
72,342962,4678610,0,0,0,2013
73,346558,4678262,0,0,0,2013
75,378559,4679104,0,NA,0,2013
76,382145,4678870,0,0,0,2013
77,398513,4678815,0,0,NA,2013
78,440180,4678907,0,0,0,2013
79,444261,4679592,0,0,0,2013
80,448243,4678206,0,0,0,2013
81,452022,4679914,0,0,0,2013
82,469029,4679893,0,NA,NA,2013
83,470386,4680092,NA,NA,0,2013
85,488147,4678442,0,0,0,2013
90,226233,4682752,0,0,0,2013
92,234630,4683355,0,0,0,2013
93,289919,4682303,0,0,0,2013
94,292872,4683529,0,0,0,2013
95,297709,4682894,0,0,0,2013
96,300952,4681839,NA,0,0,2013
97,325485,4683039,0,0,0,2013
98,328478,4682046,0,0,0,2013
99,332442,4682592,0,0,0,2013
100,335395,4682980,0,0,0,2013
102,343169,4683209,0,0,0,2013
103,379882,4682649,0,0,0,2013
104,381552,4682064,0,0,0,2013
105,394475,4682060,0,0,0,2013
106,398237,4681642,0,0,0,2013
107,410480,4681913,0,0,0,2013
108,435724,4683092,0,0,0,2013
109,440414,4682538,0,0,0,2013
110,443537,4681786,0,0,0,2013
111,448436,4683002,0,0,0,2013
112,451237,4682348,0,0,0,2013
113,456230,4681845,0,0,0,2013
117,486394,4682040,0,0,0,2013
118,492058,4683265,0,0,0,2013
119,495440,4682431,0,0,0,2013
126,226432,4685319,0,0,0,2013
127,232197,4688201,0,0,0,2013
128,269517,4687171,0,0,0,2013
129,285822,4686012,0,0,0,2013
130,289095,4685927,0,0,0,2013
132,301690,4686356,0,0,0,2013
135,325578,4685874,0,0,0,2013
136,329833,4686969,0,0,0,2013
137,332105,4684505,0,0,0,2013
138,335538,4686876,0,0,0,2013
139,361836,4684774,0,0,NA,2013
140,366786,4687171,0,0,0,2013
142,378550,4686975,0,0,0,2013
143,382020,4686010,0,0,0,2013
144,386231,4686087,0,0,0,2013
145,395659,4688343,0,0,0,2013
146,398954,4685866,0,0,0,2013
147,406263,4687371,0,0,0,2013
148,409535,4687692,0,0,0,2013
149,413370,4687689,0,0,0,2013
150,445272,4686525,0,NA,0,2013
151,449715,4687282,0,0,0,2013
152,481415,4686857,0,0,0,2013
154,491344,4686277,0,0,0,2013
156,499436,4686428,0,0,0,2013
169,219935,4690638,0,0,0,2013
170,224702,4691985,0,0,0,2013
171,229311,4691426,0,0,0,2013
172,230441,4690391,0,0,0,2013
173,233733,4688748,0,0,0,2013
174,250980,4689157,0,0,0,2013
175,255373,4689244,0,0,0,2013
177,266232,4691891,0,0,0,2013
178,269638,4690444,0,0,0,2013
184,329384,4689633,0,0,0,2013
185,332794,4691738,0,0,0,2013
186,335770,4689490,0,0,0,2013
188,359183,4693148,0,0,0,2013
189,364264,4691282,0,0,NA,2013
191,382590,4690198,0,0,0,2013
192,387174,4690340,0,0,0,2013
193,404665,4689399,0,0,0,2013
198,452637,4690118,0,0,0,2013
199,455757,4690366,0,0,0,2013
200,493597,4689237,0,0,0,2013
201,498675,4691309,0,0,0,2013
203,510369,4690911,0,0,0,2013
204,513414,4689732,0,0,0,2013
205,521918,4690077,0,0,0,2013
215,218908,4692862,0,0,0,2013
216,225290,4695667,0,0,0,2013
217,226203,4693931,0,0,0,2013
218,232570,4692618,0,0,0,2013
219,236129,4694055,0,0,0,2013
220,238612,4694660,0,0,0,2013
221,246843,4695905,0,0,0,2013
222,251801,4695942,0,0,0,2013
223,255494,4694990,0,0,0,2013
224,269744,4696128,0,0,0,2013
225,272563,4695824,0,0,0,2013
228,363843,4693628,NA,NA,NA,2013
229,396330,4693862,0,0,0,2013
230,401495,4694453,0,0,0,2013
231,405903,4693801,0,0,0,2013
235,455147,4693946,0,0,0,2013
238,492745,4695120,0,0,0,2013
239,495008,4695053,0,0,0,2013
240,499949,4695251,0,0,0,2013
241,501471,4695311,0,0,0,2013
242,510462,4695638,0,0,0,2013
244,518851,4693991,0,0,0,2013
245,521667,4695442,0,0,0,2013
256,223877,4698554,0,0,0,2013
257,226184,4698763,0,0,0,2013
258,247507,4697588,0,0,0,2013
259,250552,4699308,0,0,0,2013
260,253557,4699868,0,0,0,2013
261,266932,4699066,0,0,0,2013
262,269529,4696701,0,0,0,2013
264,386235,4697351,0,0,0,2013
265,390633,4698564,0,0,0,2013
266,393737,4697318,0,0,0,2013
268,402547,4696394,0,0,0,2013
269,406490,4698013,0,0,0,2013
272,456642,4696803,0,0,0,2013
276,513855,4698988,0,0,0,2013
291,259133,4702049,0,0,0,2013
292,261927,4701352,0,0,0,2013
293,264426,4700475,0,0,0,2013
302,389726,4702110,NA,NA,0,2013
305,401976,4701652,0,0,0,2013
306,407378,4703187,0,0,0,2013
307,460317,4700806,0,0,0,2013
308,464495,4703931,0,0,0,2013
322,252298,4707360,0,0,0,2013
323,255989,4705239,0,0,0,2013
324,262536,4704955,0,0,0,2013
325,267944,4704892,0,0,0,2013
341,461420,4706562,0,0,0,2013
354,254601,4709664,0,0,0,2013
355,263523,4709672,0,0,0,2013
366,459896,4710229,0,0,0,2013
367,464557,4708742,0,0,0,2013
382,464447,4712557,0,0,0,2013
394,467797,4717482,0,0,0,2013
408,466737,4720984,0,0,0,2013
1408,456028,4662213,0,0,0,2013
1411,468796,4662454,0,0,0,2013
1412,470603,4664123,0,0,0,2013
1413,455667,4668376,0,0,0,2013
1414,460875,4666481,0,0,0,2013
