,sitename,Count1,Count2,Count3,year
1,1,0,0,2,2013
2,2,0,0,2,2013
3,3,0,0,0,2013
216,4,0,0,0,2013
217,5,0,0,0,2013
218,6,1,0,0,2013
4,7,0,0,0,2013
5,8,0,0,1,2013
6,9,0,0,0,2013
7,10,0,0,0,2013
222,11,0,0,0,2013
223,12,0,0,1,2013
224,13,0,0,0,2013
225,14,0,0,0,2013
9,15,0,0,1,2013
10,16,0,0,2,2013
227,17,0,1,0,2013
228,18,1,1,2,2013
129,19,0,0,0,2013
230,25,0,0,0,2013
231,26,0,0,0,2013
234,27,0,0,0,2013
235,28,0,0,0,2013
132,29,0,0,0,2013
131,30,0,0,0,2013
24,32,0,0,1,2013
25,33,0,0,0,2013
26,34,0,0,0,2013
236,42,0,0,0,2013
135,44,0,0,0,2013
136,45,0,0,0,2013
137,46,0,0,0,2013
138,47,0,0,1,2013
139,48,0,1,0,2013
141,50,0,1,0,2013
142,51,0,0,0,2013
143,52,0,0,0,2013
33,54,2,0,0,2013
34,55,0,0,0,2013
35,56,2,0,1,2013
36,57,0,0,1,2013
37,58,0,0,0,2013
238,63,1,1,0,2013
239,64,0,1,1,2013
149,65,0,2,0,2013
150,67,0,1,5,2013
151,68,0,1,0,2013
152,69,0,0,1,2013
153,70,0,2,0,2013
155,72,0,0,0,2013
171,73,1,3,0,2013
179,75,0,0,0,2013
180,76,1,0,1,2013
73,77,0,0,0,2013
83,78,0,2,1,2013
84,79,0,0,0,2013
85,80,0,0,0,2013
86,81,0,1,0,2013
39,82,2,0,0,2013
40,83,0,0,0,2013
43,85,0,0,0,2013
241,90,0,2,1,2013
242,92,0,0,2,2013
158,93,0,0,0,2013
159,94,1,0,0,2013
160,95,0,0,0,2013
161,96,0,0,0,2013
165,97,2,2,1,2013
166,98,0,0,0,2013
167,99,3,0,2,2013
168,100,2,4,0,2013
169,102,1,1,1,2013
178,103,0,0,0,2013
181,104,0,0,0,2013
89,105,0,0,0,2013
90,106,0,0,0,2013
91,107,0,1,0,2013
88,108,0,0,0,2013
95,109,4,5,2,2013
96,110,5,3,2,2013
97,111,4,2,1,2013
98,112,4,1,3,2013
99,113,2,0,1,2013
47,117,0,0,1,2013
48,118,4,5,2,2013
49,119,0,0,0,2013
247,126,3,1,1,2013
248,127,0,0,0,2013
253,128,1,3,3,2013
156,129,0,0,0,2013
157,130,0,0,0,2013
162,132,0,0,0,2013
188,135,0,5,3,2013
189,136,0,1,0,2013
191,137,2,3,2,2013
192,138,0,2,1,2013
198,139,0,0,0,2013
199,140,0,0,0,2013
183,142,0,0,0,2013
184,143,0,1,0,2013
203,144,0,0,1,2013
92,145,0,1,1,2013
93,146,0,0,1,2013
