sitename,Occ1,Occ2,Occ3,year
1,0,0,0,2013
2,0,0,0,2013
3,0,0,0,2013
4,0,0,0,2013
5,0,0,0,2013
6,0,0,1,2013
7,0,0,0,2013
8,0,0,0,2013
9,2,0,0,2013
10,0,0,0,2013
11,0,1,0,2013
12,0,0,0,2013
13,0,0,0,2013
14,0,0,0,2013
15,0,0,0,2013
16,0,0,0,2013
17,0,0,0,2013
18,0,0,0,2013
19,0,0,0,2013
25,0,0,0,2013
26,0,0,0,2013
27,0,0,0,2013
28,0,0,0,2013
29,0,0,0,2013
30,0,0,0,2013
32,0,0,0,2013
33,0,0,0,2013
34,0,0,0,2013
42,0,0,0,2013
44,0,0,0,2013
45,0,0,0,2013
46,0,0,0,2013
47,0,0,0,2013
48,0,0,0,2013
50,0,0,0,2013
51,0,0,0,2013
52,0,0,0,2013
54,0,0,0,2013
55,0,0,0,2013
56,0,0,0,2013
57,0,0,0,2013
58,0,0,0,2013
63,0,0,0,2013
64,0,0,0,2013
65,0,0,0,2013
67,0,0,0,2013
68,0,1,0,2013
69,0,0,0,2013
70,0,0,0,2013
72,0,0,0,2013
73,0,0,0,2013
75,0,0,0,2013
76,0,0,0,2013
77,0,0,0,2013
78,0,0,0,2013
79,0,0,0,2013
80,0,0,0,2013
81,0,0,0,2013
82,0,0,0,2013
83,0,0,1,2013
85,0,0,0,2013
90,0,0,2,2013
92,0,0,0,2013
93,0,0,0,2013
94,0,0,0,2013
95,0,0,0,2013
96,0,0,0,2013
97,0,0,0,2013
98,0,0,1,2013
99,0,0,0,2013
100,0,0,1,2013
102,0,0,0,2013
103,0,0,0,2013
104,0,0,0,2013
105,0,0,0,2013
106,0,0,0,2013
107,0,0,0,2013
108,0,0,0,2013
109,1,0,0,2013
110,1,1,1,2013
111,1,0,0,2013
112,1,2,2,2013
113,0,0,0,2013
117,0,0,0,2013
118,1,0,0,2013
119,1,0,0,2013
126,2,0,1,2013
127,0,0,0,2013
128,0,0,1,2013
129,0,0,0,2013
130,0,0,0,2013
132,0,0,0,2013
135,0,0,0,2013
136,0,0,0,2013
137,0,0,0,2013
138,0,0,0,2013
139,0,0,0,2013
140,0,0,0,2013
142,0,0,0,2013
143,0,0,0,2013
144,0,0,0,2013
145,0,0,0,2013
146,0,0,1,2013
147,0,0,0,2013
148,1,0,0,2013
149,0,0,0,2013
150,0,0,0,2013
151,0,0,0,2013
152,0,0,0,2013
154,0,0,0,2013
156,0,0,2,2013
169,0,0,0,2013
170,2,0,0,2013
171,1,1,0,2013
172,0,0,0,2013
173,0,0,0,2013
174,0,3,0,2013
175,0,0,0,2013
177,0,0,0,2013
178,0,0,1,2013
184,0,0,0,2013
185,0,0,0,2013
186,0,0,0,2013
188,1,0,0,2013
189,0,0,0,2013
191,0,0,0,2013
192,0,1,0,2013
193,0,0,0,2013
198,0,0,0,2013
199,1,0,0,2013
200,0,0,0,2013
201,0,0,0,2013
203,0,0,0,2013
204,0,0,0,2013
205,0,0,0,2013
215,0,0,0,2013
216,1,0,0,2013
217,0,0,0,2013
218,0,0,1,2013
219,0,0,0,2013
220,0,1,0,2013
221,0,0,0,2013
222,0,0,0,2013
223,0,0,0,2013
224,0,0,0,2013
225,0,0,0,2013
228,0,0,0,2013
229,0,0,1,2013
230,1,0,0,2013
231,0,0,0,2013
235,0,1,1,2013
238,0,0,0,2013
239,0,0,0,2013
240,2,0,0,2013
241,0,0,1,2013
242,0,0,3,2013
244,1,2,0,2013
245,0,0,0,2013
256,0,0,0,2013
257,0,0,0,2013
258,0,0,0,2013
259,0,0,0,2013
260,0,0,0,2013
261,0,0,0,2013
262,0,2,1,2013
264,1,0,0,2013
265,0,0,0,2013
266,0,0,0,2013
268,0,0,0,2013
269,0,0,0,2013
272,1,0,0,2013
276,0,0,0,2013
291,0,0,0,2013
292,0,0,0,2013
293,0,0,0,2013
302,0,0,0,2013
305,0,0,0,2013
306,0,0,1,2013
307,0,0,0,2013
308,3,1,0,2013
322,0,0,0,2013
323,0,0,3,2013
324,0,0,0,2013
325,0,0,0,2013
341,0,0,0,2013
354,0,0,0,2013
355,1,1,0,2013
366,0,0,0,2013
367,0,0,0,2013
382,0,0,0,2013
394,0,0,0,2013
408,0,0,1,2013
1408,0,0,0,2013
1411,0,0,0,2013
1412,0,1,0,2013
1413,0,0,0,2013
1414,0,0,0,2013
1415,0,0,0,2013
1416,0,0,0,2013
1417,0,0,0,2013
1418,0,0,0,2013
1419,0,0,0,2013
1420,0,1,0,2013
1421,0,0,0,2013
1422,0,0,1,2013
1423,0,0,0,2013
1427,0,0,0,2013
1428,0,0,1,2013
1429,0,0,0,2013
1430,0,0,0,2013
1431,0,0,0,2013
1432,0,0,0,2013
1438,0,0,1,2013
1441,0,0,0,2013
1442,2,0,0,2013
1444,0,0,0,2013
1445,0,0,0,2013
1446,1,0,1,2013
1450,0,0,0,2013
1453,0,0,1,2013
1455,0,0,0,2013
1465,0,0,0,2013
1701,0,0,0,2013
1702,0,0,0,2013
1703,0,0,0,2013
1705,0,0,0,2013
1706,0,0,0,2013
1707,0,0,0,2013
1708,0,1,0,2013
1709,0,0,0,2013
1710,0,0,0,2013
1711,0,0,2,2013
1712,0,0,0,2013
1713,0,0,0,2013
1718,0,1,0,2013
1735,0,0,0,2013
1741,0,0,0,2013
1742,0,0,0,2013
1801,0,0,0,2013
1802,0,0,0,2013
1804,0,0,0,2013
1807,0,0,0,2013
1808,0,0,0,2013
1814,0,0,0,2013
1818,0,0,0,2013
1819,0,0,0,2013
1820,0,0,0,2013
1821,0,0,0,2013
1822,0,0,0,2013
1828,0,0,0,2013
1837,0,0,0,2013
1838,0,0,1,2013
1844,0,0,0,2013
1846,0,0,0,2013
1847,0,0,0,2013
1848,0,0,0,2013
1849,0,0,1,2013
1850,0,0,0,2013
1851,0,0,0,2013
1856,0,0,0,2013
1859,0,0,0,2013
1860,0,0,0,2013
1861,0,0,0,2013
1869,0,0,0,2013
1870,0,0,0,2013
1871,0,0,0,2013
1878,0,0,0,2013
1881,0,0,0,2013
1882,0,0,0,2013
1883,0,0,0,2013
1901,0,0,0,2013
1902,0,0,0,2013
1906,0,0,0,2013
1907,0,0,0,2013
1908,0,1,0,2013
1913,0,0,0,2013
1916,0,0,0,2013
1919,0,3,4,2013
1920,0,0,0,2013
1924,0,0,0,2013
1927,1,1,0,2013
1930,1,0,0,2013
1931,0,0,0,2013
1932,0,0,0,2013
1933,1,0,0,2013
1936,0,0,0,2013
1937,0,0,2,2013
1938,0,0,0,2013
