Station,Year,x,y,Open.Water,Developed.Open,Developed.Low,Developed.Mid,Developed.High,Barren,Deciduous,Coniferous,Mixed,Scrub,Grassland,Pasture,Cultivated.Crops,Woody.Wetlands,Herbaceus.Wetlands,road_density,camera,random,forest_edgedensity,snow_depth,deer
1,2013,452678,4654105,0.013980109,0.027772565,0.00497279,0.000328392,9.38E-05,0.002298743,0.51519985,0.051510602,0.315490711,0.004175267,0.002767874,0.031713267,0,0.020688685,0.009007318,0.960098143,Bushnell,0.623509759,40.20454119,86.37439614,NA
2,2013,456117,4655209,0.011212235,0.062019141,0.019938075,0.002345656,0.000140739,0.000516044,0.489069244,0.033730531,0.290908238,0.006004879,0.000562957,0.066241321,0.001219741,0.010273973,0.005817226,0.94728218,Bushnell,0.116951432,61.22161756,92.8537037,NA
3,2013,458283,4654783,0.000187652,0.056764871,0.02392569,0.00511353,0.000328392,0.000656784,0.553340214,0.019938075,0.185963595,0.007787577,0.001876525,0.124507412,0.013557891,0.004175267,0.001876525,0.908543738,Bushnell,0.887060186,62.91048977,76.496,NA
4,2013,234868,4659186,0.001180916,0.071658007,0.01426547,0.002503543,0.000188947,0.000897496,0.490788852,0.075342466,0.179829948,0.002314596,0.00070855,0.142465753,0.004345772,0.011714691,0.001794993,0.864556777,Reconyx,0.12380572,51.51944576,116.4033816,NA
5,2013,240906,4658779,0,0.038875768,0.002409069,0.000377893,0,0.000330657,0.731459613,0.04251299,0.146291923,0.002267359,0.000236183,0.032971186,0,0.002267359,0,0.864790269,Reconyx,0.801357072,35.9628405,138.9768889,NA
6,2013,243391,4659556,9.45E-05,0.037222485,0.00170052,0.000236183,0,9.45E-05,0.629003307,0.086490316,0.215493623,0.005573925,0.00099197,0.021776098,0,0.001322626,0,0.93295056,Reconyx,0.511617058,32.78223902,134.9958333,NA
7,2013,451781,4658948,0.004503659,0.036076187,0.008256709,0.005629574,4.69E-05,0.007553012,0.516747983,0.053621693,0.323043723,0.003893789,0.000985175,0.032979921,0,0.006661663,0,1.237695336,Bushnell,0.244746611,41.3460937,81.43425926,NA
8,2013,456025,4659255,0.005770313,0.036310752,0.001829612,0.000703697,0,0.002533308,0.384077688,0.043676112,0.389472697,0.004597485,0.003424658,0.119300056,0,0.007271533,0.001032089,1.154869378,Bushnell,0.546168181,48.64890223,100.8651515,NA
9,2013,460328,4658569,0.001172828,0.034668793,0.002158003,0.000328392,0,0.000469131,0.529930569,0.021955339,0.29048602,0.00647401,0.001454307,0.083880653,0.008678927,0.010039407,0.008303622,1.049603369,Bushnell,0.121414025,43.48845937,78.88454106,NA
10,2013,463533,4659508,0.003684459,0.049078885,0.011809164,0.003259329,0.00070855,0.003873406,0.498488427,0.011195087,0.184364667,0.004818139,0.003070383,0.217666509,0.002692489,0.004770902,0.000519603,1.023576938,Reconyx,0.961303185,60.6361203,89.58755556,NA
11,2013,225064,4664630,0.00198394,0.02768068,0.003967879,0.000614077,4.72E-05,0.000236183,0.550307038,0.053235711,0.288804913,0.004345772,0.000330657,0.065092111,0.003117619,0.000188947,4.72E-05,1.359082869,Reconyx,0.430737086,38.43489214,136.2189815,NA
12,2013,227416,4664663,0.00075061,0.0332614,0.003987615,0.000656784,0,4.69E-05,0.627556765,0.029367611,0.177566147,0.003424658,0.001079002,0.099971852,0.009617189,0.008115969,0.004597485,1.370910676,Reconyx,0.839046689,45.99049227,144.3275362,NA
13,2013,231289,4662867,0.00056684,0.047567312,0.007274445,0.000897496,4.72E-05,4.72E-05,0.491450165,0.077798772,0.275484176,0.00099197,0.000897496,0.080207841,0.011856401,0.002078413,0.002834199,1.231477857,Reconyx,0.578903316,51.31475358,130.5874396,NA
14,2013,234556,4664434,0.000188947,0.035333018,0.003495513,0.00042513,0,0.00028342,0.734860652,0.037411431,0.141143127,0.002220123,0.005951819,0.038261691,0,0.00042513,0,1.203154981,Reconyx,0.319259271,33.4750433,147.882906,NA
15,2013,459204,4663088,0.000519603,0.04293812,0.002739726,0.000519603,0,0,0.492583845,0.015351913,0.264147378,0.007982995,0.002172886,0.130845536,0.016485593,0.020358999,0.003353803,1.255059391,Reconyx,0.721477675,58.00661313,92.08333333,NA
16,2013,463436,4664539,0.000422218,0.039500844,0.002345656,0.000703697,4.69E-05,0.000234566,0.590167011,0.008209795,0.14599362,0.009664102,0.00211109,0.191499343,0.002720961,0.004832051,0.001548133,1.220609374,Reconyx,0.980698131,60.08006505,93.00606061,NA
17,2013,222354,4668171,0.000755786,0.048228625,0.009966934,0.002172886,0.00014171,0.000236183,0.377468115,0.081719414,0.266414738,0.004156826,0.001794993,0.174728389,0.023618328,0.006565895,0.002031176,1.479293593,Reconyx,0.86870691,65.37553141,141.6513228,NA
18,2013,227200,4666404,0.002456306,0.028058573,0.002456306,0.00056684,9.45E-05,0.00042513,0.672697213,0.039914974,0.181388758,0.007179972,0.003684459,0.056967407,0,0.001794993,0.002314596,1.434528761,Reconyx,0.44781885,40.98567155,149.6310185,NA
19,2013,308730,4667375,0.010014171,0.052385451,0.008597071,0.002786963,0.00028342,4.72E-05,0.330278696,0.095937648,0.275625886,0.00170052,0.004393009,0.164194615,0.04307983,0.002786963,0.007888521,1.378099288,Misc,0.296951326,57.61297433,63.28695652,NA
25,2013,223608,4671708,0.000330657,0.059470949,0.006046292,0.00056684,9.45E-05,0,0.427208314,0.067406708,0.275011809,0.004534719,0.00198394,0.132262636,0.019508739,0.001464336,0.004109589,1.568688035,Reconyx,0.833027728,61.36041568,143.2717172,NA
26,2013,227678,4671789,0.000519603,0.075247992,0.006565895,0.000944733,4.72E-05,0,0.593386868,0.029286726,0.1720359,0.004251299,0.000377893,0.109730751,0.004818139,0.002031176,0.000755786,1.577962186,Reconyx,0.7202759,73.2325618,144.0162037,NA
27,2013,247011,4672344,0.000375305,0.044379809,0.003706136,0.000375305,0,0,0.480765622,0.084115219,0.190138863,0.004691312,0.000609871,0.188309251,0.002533308,0,0,1.424816688,Reconyx,0.861584563,53.34021392,123.0149758,NA
28,2013,249286,4671213,9.38E-05,0.044332895,0.004644399,0.000562957,0,9.38E-05,0.520266467,0.083693001,0.231094014,0.001970351,9.38E-05,0.112356915,0.000797523,0,0,1.401136449,Reconyx,0.431741144,44.14524301,102.2924444,NA
29,2013,308935,4671569,0.012612187,0.042843647,0.008077468,0.003967879,0.000330657,0.000614077,0.271516297,0.064903165,0.235285782,0.005904582,0.003117619,0.291025035,0.033915919,0.017477563,0.008408125,1.466191166,Misc,0.643554566,61.54936231,66.94907407,NA
30,2013,305008,4671460,0.012572715,0.044614374,0.008115969,0.002674048,0.002908613,0.000375305,0.329986864,0.088994183,0.245261775,0.009851755,0.001219741,0.17836367,0.062863577,0.004409833,0.007787577,1.346610621,Misc,0.590606562,66.38206042,72.56444444,NA
32,2013,469264,4669658,0.000187652,0.045881028,0.010790017,0.002720961,0.000469131,0,0.599315068,0.058688309,0.172311878,0.008022143,0.003283918,0.08819666,0.000469131,0.008960405,0.000703697,1.28133253,Misc,0.447324844,41.09589041,114.4884259,NA
33,2013,473368,4671309,0.006849315,0.042362545,0.004175267,0.000328392,4.69E-05,0.000234566,0.542456371,0.078438731,0.258209795,0.011165322,0.000797523,0.03401201,0,0.018765247,0.002158003,1.273559364,Misc,0.870031601,46.03740539,117.7310185,NA
34,2013,474007,4670880,0.003306566,0.036183278,0.004534719,0.000236183,4.72E-05,0.000236183,0.588474256,0.07132735,0.238072744,0.010911667,0.000236183,0.033254606,0,0.012376004,0.000803023,1.25810136,Reconyx,0.11685872,40.59203275,112.4419192,NA
42,2013,226656,4676400,0.000330657,0.050307038,0.012612187,0.001086443,4.72E-05,4.72E-05,0.556164384,0.031931979,0.141426547,0.002881436,0.00127539,0.1867265,0.009305621,0.003684459,0.002172886,1.502105713,Reconyx,0.219723088,64.3993072,151.9641414,NA
44,2013,297181,4674817,0.001219741,0.043206981,0.002486395,0.000516044,9.38E-05,0,0.450835053,0.035841621,0.196003002,0.00511353,0.003049353,0.217583036,0.041424282,0.002017264,0.000609871,1.285256696,Misc,0.438219755,61.55000938,108.4949495,NA
45,2013,301518,4674064,0.013887577,0.047709022,0.010581011,0.003920642,0.000330657,0.00014171,0.378601795,0.106707605,0.254983467,0.005715635,0.001511573,0.104534719,0.063580538,0.002456306,0.005337742,1.31199801,Misc,0.160224415,59.21902063,89.616,NA
46,2013,303568,4674198,0.014214674,0.050103209,0.010414712,0.003190092,0.000328392,9.38E-05,0.409645337,0.106023644,0.262291237,0.006708576,0.001454307,0.083036217,0.045271158,9.38E-05,0.007130794,1.389792153,Reconyx,0.4379857,51.41677613,85.73285024,NA
47,2013,311978,4674238,0.019328204,0.058500657,0.006520923,0.001595046,0.000328392,0.001172828,0.317179583,0.041048977,0.167479827,0.000844436,0.005817226,0.305967348,0.046537812,0.020454119,0.00722462,1.597757332,Misc,0.507877334,67.39851129,66.67874396,NA
48,2013,317606,4673745,0.001474435,0.039001189,0.003804994,0.001236623,0.000237812,0,0.421022592,0.032532699,0.192865636,0.005564804,0.006183115,0.258073722,0.028917955,0.006516052,0.002568371,1.746255696,Misc,0.152029327,62.82996433,69.0412037,NA
50,2013,328185,4674947,0.000755786,0.053802551,0.003023146,0.000755786,0,0.002220123,0.423334908,0.041851677,0.326594237,0.004629192,0.005101559,0.132593292,0.001653283,0.003023146,0.000661313,1.799166671,Reconyx,0.996614157,56.65249567,82.70858586,NA
51,2013,332499,4674423,0.000985175,0.052448865,0.005535748,0.001079002,0.000187652,0.000562957,0.440326515,0.033026834,0.332097955,0.001595046,0.001782698,0.121598799,0.003002439,0.002345656,0.003424658,1.927008595,Misc,0.09975601,50.85381873,80.99855072,NA
52,2013,335942,4674069,0.001782698,0.052495778,0.00586414,0.001548133,0.000516044,9.38E-05,0.485785326,0.026552824,0.25586414,0.00497279,0.00225183,0.125211109,0.005535748,0.025379996,0.006145618,2.114126418,Misc,0.558890586,53.96572215,76.35231481,NA
54,2013,467419,4673321,0.002975909,0.03037317,0.008597071,0.001369863,0.000472367,0.005337742,0.520170052,0.036844591,0.196882381,0.006046292,0.005432215,0.167076051,0,0.01440718,0.004015116,1.322322871,Reconyx,0.933521921,56.16438356,103.1493333,NA
55,2013,472751,4673928,0.005582661,0.033308313,0.012150497,0.002814787,0.001032089,0.000516044,0.48991368,0.049024207,0.242681554,0.006990054,0.001548133,0.137643085,0,0.014261588,0.002533308,1.315372006,Misc,0.435551805,49.75917933,107.8263889,NA
56,2013,477183,4676203,0.003212093,0.030042513,0.009305621,0.001936703,0.000944733,4.72E-05,0.542607463,0.033065659,0.172933396,0.009730751,0.004676429,0.182994804,0.00170052,0.006046292,0.000755786,1.329440013,Reconyx,0.991949361,54.62131948,96.54533333,NA
57,2013,478730,4675441,0.000656784,0.044567461,0.017686245,0.002017264,0.000187652,0.000234566,0.480155752,0.03748358,0.19731657,0.008256709,0.003377744,0.19145243,0,0.014636892,0.001970351,1.29705735,Misc,0.212266168,68.19603428,93.22824074,NA
58,2013,481877,4674153,9.38E-05,0.051041471,0.018577594,0.003190092,0.000281479,0,0.574544943,0.012244324,0.091480578,0.004832051,0.001266654,0.232548321,0,0.008866579,0.001032089,1.207975013,Misc,0.961008375,78.20416588,93.23935185,NA
63,2013,255587,4678131,0.002503543,0.048134152,0.002881436,0.00113368,9.45E-05,9.45E-05,0.373878129,0.162730279,0.322484648,0.00170052,0.002220123,0.076617855,0.004109589,0.000519603,0.000897496,1.434827507,Reconyx,0.792630686,49.75594395,122.7085859,NA
64,2013,258770,4677105,0.000985175,0.046631638,0.002017264,0.000797523,0.000140739,9.38E-05,0.482548321,0.127744417,0.197738788,0.003143179,0.000140739,0.125258022,0.012619628,0.000140739,0,1.438576434,Reconyx,0.371149959,54.1064615,141.8289855,NA
65,2013,301106,4679688,0.006565895,0.04222957,0.003212093,0.001086443,4.72E-05,0.00099197,0.330278696,0.090174776,0.245347189,0.004298536,0.002409069,0.208738781,0.048228625,0.009589041,0.006802078,1.495729998,Reconyx,0.92307256,51.72413793,92.85288889,NA
67,2013,324359,4680466,0.001180916,0.041190364,0.006660368,0.001464336,0.00014171,9.45E-05,0.523571091,0.03023146,0.228341993,0.002881436,0.001747756,0.099905527,0.04492206,0.015304676,0.002361833,1.72540799,Misc,0.697324316,44.71736734,75.99733333,NA
68,2013,328277,4679741,0.002598016,0.035616438,0.002409069,0.00099197,0,0.00028342,0.454085971,0.022201228,0.304865376,0.004204062,0.001653283,0.132262636,0.027019367,0.008597071,0.003212093,1.76740133,Misc,0.589226969,52.65312549,72.74191919,NA
69,2013,331609,4679632,9.38E-05,0.053105648,0.004081441,0.000609871,4.69E-05,0,0.419966223,0.019891162,0.261024582,0.006098705,0.001923438,0.224479264,0.005207356,0.003143179,0.000328392,1.84316688,Misc,0.330739941,65.58453744,81.61534392,NA
70,2013,335550,4678226,0.000472367,0.059990553,0.005290505,0.00099197,0.000188947,0.000661313,0.431317903,0.022531885,0.221162022,0.003967879,0.000897496,0.240859707,0.006471422,0.004818139,0.000377893,1.989384302,Misc,0.704649178,58.71516297,81.01574074,NA
72,2013,342962,4678610,0.000375305,0.045364984,0.012901107,0.001548133,0,0,0.613201351,0.007365359,0.138722087,0.003330831,0.001782698,0.16180334,0.0085851,0.00361231,0.001407394,2.016100019,Misc,0.512717653,60.23644211,82.68755556,NA
73,2013,346558,4678262,0.001125915,0.055498217,0.029226872,0.006708576,0.001079002,0.000516044,0.523268906,0.006098705,0.129667855,0.001829612,0.0028617,0.175408144,0.037389754,0.015293676,0.014027022,1.999084992,Misc,0.096641873,63.37962094,72.10454545,NA
75,2013,378559,4679104,0.008162882,0.05057234,0.002814787,0.000609871,0,9.38E-05,0.237568024,0.077735035,0.380934509,0.026834303,0.001407394,0.16902796,0.012291237,0.026928129,0.005019704,1.374497518,Misc,0.030921531,70.02564584,95.78088889,NA
76,2013,382145,4678870,0.001086443,0.036797355,0.003117619,0.000803023,0,0.00113368,0.294709495,0.05663675,0.432923949,0.007982995,0.001369863,0.153944261,0,0.008786018,0.00070855,1.366999388,Misc,0.204975144,57.51850102,101.0101852,NA
77,2013,398513,4678815,0,0.036561171,0.007510628,0.00127539,9.45E-05,0.00042513,0.309777988,0.035144072,0.223996221,0.004581956,0.001322626,0.335710912,0.026263581,0.014218233,0.003117619,1.327965004,Misc,0.581692951,49.88190836,93.68222222,NA
78,2013,440180,4678907,0.00436292,0.045787202,0.005301182,0.001266654,0,0.000469131,0.320838807,0.064505536,0.301979734,0.005441922,0.002720961,0.231750798,0.005957966,0.008678927,0.000938262,1.515418657,Misc,0.923233772,68.35241133,75.73472222,NA
79,2013,444261,4679592,0.004175267,0.03387127,0.002345656,0.000656784,9.38E-05,0.000281479,0.298695815,0.110996435,0.438778382,0.000422218,9.38E-05,0.094295365,0.000281479,0.012713455,0.002298743,1.491668238,Misc,0.487686976,46.47526115,97.03756614,NA
80,2013,448243,4678206,0.000755786,0.04166273,0.006376949,0.000614077,4.72E-05,0.000236183,0.318327822,0.052763344,0.323334908,0.00184223,0.000614077,0.243268777,0.00056684,0.008786018,0.000803023,1.436097826,Misc,0.948262912,52.77908991,85.14933333,NA
81,2013,452022,4679914,0.005290505,0.049031649,0.005148795,0.000519603,9.45E-05,0.000377893,0.245111006,0.066792631,0.414076523,0.002786963,0.00056684,0.180066131,0,0.025932924,0.004204062,1.429592483,Misc,0.685915882,66.17855456,89.20933333,NA
82,2013,469029,4679893,4.72E-05,0.04237128,0.01384034,0.002456306,0.000472367,0.002314596,0.378460085,0.05862069,0.340670761,0.008833255,0.004298536,0.14336325,4.72E-05,0.003778932,0.00042513,1.421365619,Misc,0.898340665,61.59659896,96.78846154,NA
83,2013,470386,4680092,0.000187652,0.029133046,0.007459186,0.000844436,0.000469131,0,0.371504973,0.079752299,0.373850629,0.009148058,0.005629574,0.11423344,0,0.0057234,0.002064177,1.42287927,Misc,0.078809796,47.88265466,102.0972222,NA
85,2013,488147,4678442,0.002533308,0.034434228,0.009054232,0.001079002,0,4.69E-05,0.680240195,0.014308501,0.052214299,0.011212235,0.001829612,0.1777538,0.002158003,0.009851755,0.003283918,1.261086874,Reconyx,0.184883362,67.77381623,112.4252525,NA
90,2013,226233,4682752,0.05568587,0.049164947,0.010461625,0.002908613,0.000187652,0.000938262,0.478654532,0.036170013,0.126853068,0.003518484,0.000891349,0.208575718,0.020782511,0.003706136,0.00150122,1.337376237,Reconyx,0.443223107,60.25207981,157.0873737,NA
92,2013,234630,4683355,0.000377893,0.053708077,0.006471422,0.002031176,0.00014171,4.72E-05,0.427633444,0.025318847,0.112517714,0.004156826,0.001228153,0.297543694,0.012942844,0.047756259,0.008124705,1.38997714,Reconyx,0.990099176,63.95843174,129.8565657,NA
93,2013,289919,4682303,0.005160443,0.025755301,0.001735785,0.000562957,0,0.000609871,0.47832614,0.091949709,0.26656033,0.002627135,0.001782698,0.072058548,0.031947833,0.011352974,0.009570276,1.474158585,Misc,0.001596995,40.29836742,98.6375,NA
94,2013,292872,4683529,0.001189061,0.032865636,0.003757432,0.000903686,9.51E-05,0.000285375,0.549346017,0.027110583,0.214744352,0.010701546,0.001902497,0.12451843,0.02097503,0.009036861,0.002568371,1.507339334,Misc,0.92423324,55.02972652,106.2861111,NA
95,2013,297709,4682894,0.00014171,0.041473784,0.006046292,0.003873406,0.00056684,0,0.309589041,0.051299008,0.247803496,0.002314596,0.003023146,0.225555031,0.092253188,0.013320737,0.002739726,1.535939995,Misc,0.504609624,50.21256495,98.38599034,NA
96,2013,300952,4681839,0.004034528,0.049727904,0.005066617,0.001595046,0.000187652,0.000140739,0.29846125,0.064646275,0.268389942,0.003518484,0.00497279,0.241039595,0.041142804,0.010649278,0.006427097,1.527835337,Misc,0.888493682,64.25533246,91.83555556,NA
97,2013,325485,4683039,0.00170052,0.036372225,0.003117619,0.000897496,4.72E-05,0.000377893,0.535758148,0.023618328,0.2132735,0.004015116,0.00099197,0.111053377,0.050495985,0.014312707,0.003967879,1.700459973,Reconyx,0.165212175,38.0569989,84.6625,NA
98,2013,328478,4682046,0.002720961,0.039219366,0.003471571,0.000703697,9.38E-05,0.000469131,0.428879715,0.033730531,0.307374742,0.003424658,0.001735785,0.101707637,0.044942766,0.024957778,0.006567836,1.719991334,Reconyx,0.631606143,51.63570401,74.33377778,NA
99,2013,332442,4682592,0.009382623,0.051979734,0.005019704,0.001313567,9.38E-05,0.000281479,0.390692438,0.042972415,0.355038469,0.003893789,0.003471571,0.123381497,0.004925877,0.004409833,0.003143179,1.790053137,Reconyx,0.619223285,58.51629449,87.54666667,NA
100,2013,335395,4682980,0.005857345,0.036939065,0.003070383,0.000755786,0,0.000330657,0.367170524,0.048984412,0.348512045,0.001794993,0.003070383,0.165658951,0.008644308,0.006896552,0.002314596,1.804090704,Reconyx,0.674547713,43.81987089,87.71733333,NA
102,2013,343169,4683209,0.003306566,0.036419462,0.013226264,0.001889466,0.000188947,0.002361833,0.444969296,0.018375059,0.177468115,0.005337742,0.00085026,0.193811998,0.078979688,0.012801134,0.010014171,1.803234369,Misc,0.596140418,57.14060778,71.21851852,NA
103,2013,379882,4682649,0.000755786,0.042182333,0.002786963,0.000377893,0,0,0.276712329,0.104345772,0.517619273,0.006896552,0.000661313,0.032546056,0,0.014501653,0.000614077,1.524700658,Reconyx,0.837124336,45.6463549,115.5888889,NA
104,2013,381552,4682064,0.000755786,0.040056684,0.003589986,0.000614077,0,0,0.277657062,0.086112423,0.495229098,0.009258385,4.72E-05,0.069390647,0,0.016438356,0.00085026,1.470613748,Misc,0.733517811,52.36970556,116.3984848,NA
105,2013,394475,4682060,0.00155881,0.043552197,0.004015116,0.000330657,9.45E-05,4.72E-05,0.464383562,0.054322154,0.187954653,0.001228153,0.002834199,0.222673595,0.007888521,0.008833255,0.00028342,1.320847145,Misc,0.888319213,51.06282475,124.0305556,NA
106,2013,398237,4681642,0.000234566,0.041330456,0.009945581,0.001595046,0.000281479,0,0.328532558,0.065209233,0.254269094,0.006943141,0.007787577,0.219459561,0.045552637,0.017498593,0.00136048,1.280053727,Misc,0.428678336,49.05548258,110.2305556,NA
107,2013,410480,4681913,0.006333271,0.047335335,0.006239445,0.001688872,0.000187652,0.001172828,0.358885344,0.045881028,0.23630137,0.012291237,0.000187652,0.244229687,0.002908613,0.030118221,0.006239445,1.367878,Misc,0.66906316,68.10220804,105.4383838,NA
108,2013,435724,4683092,0.01596599,0.058431743,0.018611242,0.004818139,0.001653283,0.001747756,0.242985357,0.039678791,0.2573453,0.005951819,0.003164856,0.222248465,0.074728389,0.041615494,0.011053377,1.486709297,Misc,0.00570406,72.11462762,62.60933333,NA
109,2013,440414,4682538,0.003518484,0.050384688,0.005066617,0.000703697,0,0.000140739,0.34828298,0.04696003,0.259054232,0.013370238,0.00136048,0.236535935,0.002298743,0.028007131,0.004316007,1.440831251,Misc,0.286272439,70.96390818,77.95748792,NA
110,2013,443537,4681786,0.002814787,0.048273597,0.003002439,0.000469131,9.38E-05,0.000281479,0.299540251,0.078016513,0.374741978,0.001876525,0.000938262,0.161709514,0,0.02453556,0.003706136,1.46688784,Misc,0.790544203,56.18627635,93.47022222,NA
